st_code,dt_code,state,district,current_ac_cr,savings_ac_cr,deposit_cr,credit_cr,population,housing_loan_cr,con_durable_loan_cr,auto_loan_cr,education_loan_cr,cc_loan_cr,others_loan_cr
35,638,ANDAMAN & NICOBAR ISLANDS,NICOBAR,16.9,104.1,213.8,60.7,35247,0,0,0.5,0,0,52.5
35,639,ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,30.4,531.9,918.6,333.1,127300,35.2,0,13.8,1.1,0,196.5
35,640,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,463.2,3457.8,7124.9,3907.7,310058,755.4,2.1,236.3,31.6,15.3,1533.8
37,553,ANDHRA PRADESH,ANANTHAPURAMU,771.6,6230.3,14370.2,25230.8,2973224,4271.4,7.9,614.9,341.5,211,4255.6
37,554,ANDHRA PRADESH,CHITTOOR,434.5,4017.6,8148.5,15654.7,2468538,1609,2.2,282.4,241.9,168,2332.1
37,545,ANDHRA PRADESH,EAST GODAVARI,1026.2,7142.1,16475.5,31838.7,2314455,5940.7,59.3,942,566.3,213.8,4864
37,548,ANDHRA PRADESH,GUNTUR,4775.8,13369.7,38386,53881.9,2763081,10054.2,72.9,1060.3,1268.3,426.6,5986
37,547,ANDHRA PRADESH,KRISHNA,3463.4,16765.1,44104.3,64112.2,2310446,9974.4,102.2,1553.8,1206.1,262,7529.1
37,552,ANDHRA PRADESH,KURNOOL,775.1,5652.3,13068.6,21249.1,3161467,4614.4,7.9,809.7,302.9,165.3,4403
37,549,ANDHRA PRADESH,PRAKASAM,677.1,5777.5,12092.7,27256.9,3052062,3437.4,11,474.8,414.8,162.8,3729.3
37,550,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,1226.5,7675.3,17921.9,36197.7,3259638,6315,32.7,1064.8,572.3,281.4,6489.9
37,542,ANDHRA PRADESH,SRIKAKULAM,536.1,5737.3,11097.2,17805.4,2701419,2609.4,10.6,394.2,215.1,94.1,3996.9
37,544,ANDHRA PRADESH,VISAKHAPATNAM,6004.1,18612.1,72040.4,80681.2,2560185,18181.3,147.1,2461.6,1299.7,858.3,13060.7
37,543,ANDHRA PRADESH,VIZIANAGARAM,409.6,3835.8,8696.4,13456.1,2394165,2912.6,7.4,347.3,194.6,105.8,2765.8
